Node1 	Node2 	Distance	 Time	 Settled
210666	189608	32353	56	74215
28383	130256	64766	6	9979
213221	151612	27085	73	96468
289207	109754	63423	99	123893
97111	147432	152865	203	258305
186889	247308	188437	232	297231
88860	132713	42221	7	11603
280443	120328	47438	33	48251
18392	241566	27957	60	83072
247161	299730	28307	94	117695
94598	146924	29445	24	33297
35423	145559	60725	9	12221
186615	94926	37459	103	123300
219551	79177	15419	19	26962
114965	196947	41605	63	83301
91876	85990	128938	232	296901
198459	176745	16223	26	36482
110205	218093	91030	22	33749
261351	117451	97734	63	68294
154528	245890	4693	2	2067
261983	241567	19822	40	53384
55166	122975	143311	200	187754
158128	135549	9342	1	1392
158154	181466	51568	102	132843
79745	54566	232391	222	292828
89106	216988	41772	61	86960
312006	137044	49854	80	101347
141160	131894	111784	117	149528
137711	177497	43373	32	46745
260245	266477	62931	54	65768
5187	163912	71643	220	275678
216878	45788	70749	171	228736
127772	181920	46013	80	100171
201516	311689	34145	178	225235
278259	294307	6207	1	1996
201435	267122	35840	52	76694
13903	259286	88071	100	128377
230104	100196	33069	122	147901
221607	217605	38589	84	98297
129930	124000	8703	2	2551
212866	68825	29876	6	9756
199999	182456	17098	17	23531
228872	122292	20925	11	16690
301615	166197	24532	20	29587
22628	118906	82788	56	78794
6985	109929	81677	145	192784
110600	71315	100283	14	20427
283058	78524	44054	87	112547
218613	133357	49575	15	22258
112998	166613	39628	46	58594
230436	47907	118188	197	268202
1005	99678	143373	83	108092
282259	197563	72003	104	129170
123596	63937	116103	25	39033
173491	132888	34540	49	61656
14486	10846	33434	84	106689
287736	4444	6791	14	21689
57031	37163	67442	6	8675
155260	209788	37399	18	26564
174523	77421	62785	67	92038
221533	156827	150859	41	58098
276104	40036	63017	91	115104
17211	147398	150492	238	307053
144871	198399	34125	89	113537
69324	309067	92615	117	146890
159815	254071	133660	94	117847
158279	160744	23853	3	4576
20526	23102	79298	126	148977
249221	45696	92884	149	188349
103797	277198	181493	231	310591
231433	185309	28911	77	88814
153996	280612	39327	11	16385
175668	248739	84065	120	156605
15132	229225	4306	8	12153
101151	153560	45892	62	81402
99345	57094	62209	15	22019
134723	150532	74506	40	54374
180256	187387	16373	58	75216
235772	28776	66209	109	140688
113532	203957	84478	95	114100
92052	183302	147416	78	103991
282308	45078	111378	221	297596
115088	299352	18851	53	54622
310489	310021	11955	66	85124
164966	208516	10621	32	42782
37565	85646	99614	63	83761
275398	43411	80313	124	159033
211385	68930	98474	155	200797
307236	295524	18439	13	17005
252356	61527	62122	150	183993
219879	211470	52262	58	77494
155457	9250	27764	59	78976
265238	195866	23528	31	42301
133622	154209	67002	33	45353
144583	300564	24102	38	52117
61786	211666	62609	173	214463
150707	221718	27006	32	41878
125915	45559	144534	57	81111
224552	146699	18791	7	10459
143698	292813	24525	18	26136
240022	290815	15369	20	25915
237443	166865	24810	28	42119
45488	298016	79480	60	80572
196483	41028	36737	169	214169
150690	151754	48744	25	33698
151361	21360	198189	230	297169
208455	290286	12015	4	6153
28052	222789	253228	225	309832
2004	76215	68203	84	111409
168149	306516	39042	122	163599
104752	158561	50292	2	3917
159768	182786	84805	26	38678
43805	175074	75738	116	152041
101073	67974	109459	172	203589
261069	5118	79407	146	187783
100594	26286	116305	203	266865
190795	163987	29808	55	68890
13233	306806	130063	164	199601
172441	213160	34097	47	62952
21197	106560	44148	10	14762
204105	304059	13032	8	11434
161135	287829	95250	56	76990
59862	302010	46092	30	44017
249828	50651	82596	119	148958
57965	91087	109785	211	265289
93893	30103	72605	33	48713
48383	117633	32796	2	2873
75633	119961	44534	9	14790
233151	97720	58892	143	192555
278850	162026	71450	8	14629
285619	293433	6250	5	6926
178226	133384	52709	94	124252
161142	250772	171977	236	303768
35069	242672	49744	30	43024
89462	11137	91483	70	91249
271860	3770	67224	140	182672
103040	196833	53511	40	44331
106148	197711	71691	56	68234
81840	140684	98329	45	59959
109678	255424	23157	4	5285
141594	176132	37987	30	43173
208481	238122	25204	64	84907
39000	203657	57536	101	130340
197025	116750	15192	1	1562
44506	205876	82286	160	201412
37128	117614	87869	22	30894
24966	55752	52319	11	16804
201663	180833	20154	30	43210
113434	120098	105161	90	113390
266661	104593	60554	170	213534
124148	301676	91684	58	79917
178275	70347	89058	137	170977
244685	187649	65400	109	140194
147094	290881	17473	7	10853
155832	88197	30703	61	81966
66177	243782	95505	87	109986
31240	245985	37272	25	35484
96952	186153	52410	33	48054
44149	81964	61738	3	5108
70669	222751	101318	122	164055
177398	251519	28444	54	72938
142086	70645	102936	174	235453
85904	296337	101729	85	117399
308576	86134	56527	196	236403
56633	114592	40472	10	14750
148293	172778	53096	7	11179
87518	251569	39728	7	11623
86511	129245	83412	85	109768
74820	145645	58872	11	17462
49369	161791	136803	109	144790
296822	293255	16904	10	15431
200622	53686	47065	42	57688
18039	232738	121942	38	53630
247314	28735	153717	43	56586
121244	283360	28025	10	15745
267007	230778	35874	46	61025
262757	10941	24916	20	29221
121004	148232	60607	18	27136
196305	308591	54633	168	215896
68216	48985	60900	12	17905
214421	44301	81139	140	176270
290157	302573	21747	45	51604
16994	13368	68044	113	140799
185827	194816	28239	59	77430
46063	117533	115582	143	181630
16809	139922	43915	6	9016
298553	212216	32027	87	109980
128763	279280	57034	8	13193
74684	249883	21714	74	96561
37195	93743	122848	195	250833
122443	134094	57668	7	10727
208036	61895	55139	98	123678
