Node1 	Node2 	Distance	 Time	 Settled
55483	295267	58958	14	26393
280478	206872	42188	20	41759
167995	104673	74628	121	210193
113896	226774	22976	13	26331
275776	32139	82157	130	239910
106553	233786	49521	9	17273
170152	32552	77515	51	85555
68120	90460	152597	165	286314
83620	84920	155887	120	200752
246592	295585	8598	1	4013
229326	51293	91047	98	180940
90049	161238	118275	181	286169
272480	266273	45387	28	54589
33989	115954	55468	16	32803
119798	270033	63217	67	112785
274297	74646	154720	148	283329
44547	84232	164377	171	288628
154741	178564	23379	22	44724
98458	190654	58596	69	121235
93459	118447	123571	135	206728
89688	102560	49721	145	255497
36145	93396	125483	69	130466
294097	11782	11377	7	15369
185022	8414	30526	33	61742
56873	38900	78794	4	7796
291146	94040	49929	105	188933
158179	53468	67397	137	241800
4915	201170	105498	99	144413
183003	174140	6959	1	2173
98357	53495	89154	141	213179
81675	44147	122325	152	265350
263225	24386	50458	36	71475
245583	285180	20653	12	23328
94376	280740	92126	109	184874
16652	181625	11334	4	9732
195418	64411	35922	71	126214
309296	12317	51059	16	26354
17164	123377	61468	30	57604
141226	25166	24989	3	6485
176052	277265	202004	159	309828
89663	215346	22466	6	15964
7455	144177	61374	72	127595
260926	188019	56928	51	95659
122632	77310	56692	69	125351
213422	252308	12539	91	163847
158018	156540	14518	1	3288
268784	109058	50604	91	160297
132210	71352	89042	97	167423
199729	226979	20383	18	34322
210163	158381	31404	27	52098
6725	11673	20645	8	16799
80081	302486	77206	89	166207
221015	102929	54118	76	135096
228115	303339	12634	8	17705
5218	215901	182593	37	55111
80207	54899	78865	118	205536
153660	250442	57122	64	109686
114123	105956	35056	23	47085
88295	76534	58155	127	232759
96861	197594	72554	83	100294
77973	271995	151362	163	273352
217509	11956	31101	34	66156
251097	85968	90723	148	249680
246042	96190	23910	114	197353
95422	35940	73336	16	36290
186196	164547	97010	139	263810
148814	58671	53519	17	32483
60339	2823	92240	84	158283
225373	83084	50078	143	253754
51194	36796	171692	157	267490
116906	67726	119024	162	304020
113985	135982	240814	167	309896
83006	128271	45023	50	88962
163148	193725	38424	36	63888
225603	200558	25548	50	91424
177461	39534	73037	83	149561
56635	110086	148184	144	280095
41872	235926	46998	42	57888
210609	263118	28304	18	35029
4792	253634	99274	143	258849
311868	162499	62985	77	145943
274583	259929	71496	74	132628
26082	2549	70566	128	211287
104592	250616	57749	38	71694
199664	128012	46362	71	115332
271372	104795	120617	137	240939
303480	48092	65450	123	210399
122994	17462	87345	24	50751
228539	218186	32230	85	148184
284795	286864	7722	7	14334
74430	216296	159961	57	110164
188821	231020	20386	7	16902
57906	64725	34070	4	7025
267554	271811	73090	84	153912
261231	242705	31913	7	15199
98400	271149	31565	5	12091
253688	296710	69972	41	81006
97230	120639	44202	48	91721
209507	121756	30887	21	42443
238581	162082	50426	66	110132
95258	199455	51491	29	57272
254464	60020	149928	136	209475
118607	305979	31192	20	39107
92117	130758	66028	3	7307
92292	241464	80975	59	100988
150071	35123	60760	66	118889
281534	38508	151107	155	247676
307238	129805	84145	93	161259
160892	128820	123908	164	292007
304896	235384	6611	4	7222
100715	280649	102330	127	218990
64151	24419	65736	63	103664
204167	280526	55279	87	146442
148623	273157	21011	6	11764
138191	145031	56551	58	92170
39443	232283	68746	26	51402
156031	53261	111316	167	285428
133936	82197	44891	20	38300
252010	218165	30746	71	126163
23981	78806	65035	154	220879
154052	189819	22227	5	10453
252078	87181	69188	127	196847
257911	217677	85072	61	101225
20391	80063	113880	147	234990
247136	36184	101545	119	195020
18620	216297	54624	95	157235
126526	292573	24707	53	86533
231478	277047	38034	32	53196
200305	173939	11089	5	11476
182435	59109	52285	78	129418
246781	146092	30554	31	54444
145089	71135	41894	65	110879
170535	121171	37073	6	14062
88489	239263	47993	62	94750
37073	142543	75307	106	183020
171141	82769	70072	80	135819
44557	253349	103520	140	218182
17958	167690	75703	75	136315
270460	8622	24818	23	43459
209901	256708	6980	4	10301
252108	208813	19538	64	98700
156901	121951	12960	1	2962
296506	73806	138848	145	273992
285410	89245	75916	99	175028
207168	54069	68248	103	180504
213454	140437	48884	15	30051
167786	245792	21492	6	13069
202214	242244	18595	26	48164
67369	188919	93222	92	163108
17781	218410	99139	106	185252
63502	271690	77057	97	166933
20137	147396	128337	149	227575
60033	267905	48196	48	89477
113831	234545	21123	9	22058
185538	39567	59009	47	80300
215090	43331	54025	90	133723
288679	51991	49325	70	109487
82011	20933	161372	146	257310
224063	151536	15875	6	14863
199488	10273	12500	6	15362
291024	300417	79059	153	284382
197289	275408	26758	13	26327
9008	250908	17192	18	35468
242099	209219	17712	36	65337
243625	48656	64977	87	143727
134528	130937	10650	0	868
263308	131729	99301	119	213610
117030	25684	69678	62	113393
275531	137181	38991	24	45438
93210	123783	77336	26	51931
203412	99215	56011	108	196106
51475	175774	63083	28	52101
60715	110953	55264	10	22976
253326	241096	71850	51	84430
219041	100028	89573	130	224620
280609	151448	48433	28	52671
203884	200597	14276	10	22708
67060	73278	79505	8	19024
58148	123767	62935	20	41320
206075	69718	87512	98	183259
32871	283402	70256	26	50858
160789	233506	30135	29	54837
293454	259203	52118	68	119560
309090	94800	33760	42	78819
188455	235865	12832	9	18659
11727	243062	17142	16	30297
124212	274887	99562	17	37066
261308	261401	52585	53	99432
105654	168421	54791	84	152321
140554	23977	31359	4	8356
279298	224511	43428	25	46448
67332	131633	53246	4	11066
307421	248655	82172	84	121657
6854	172182	39243	8	17262
275946	239231	25978	24	48798
242425	121790	27867	19	39998
127081	30995	41947	34	63742
65340	1140	24569	6	11557
71562	147584	155723	159	296040
128618	222914	102010	62	114791
178985	211303	7884	11	23684
268377	50671	98936	147	269659
292436	254759	75156	138	248470
55421	153104	53691	10	19511
55091	274931	83773	89	160028
109834	301242	79863	150	225686
251382	70126	74310	48	88820
103313	107504	35599	15	31296
299915	303471	11424	4	10020
87852	48354	61401	17	34854
20874	232037	70422	22	46102
169392	112609	120358	103	189531
262116	97014	61343	130	192756
37603	245890	48551	13	27067
189736	252161	20350	4	8039
62091	267787	76306	30	51730
103118	1755	48436	39	75687
207783	24150	24677	12	24804
105329	297921	53352	57	103172
136815	52996	104728	131	242513
304568	187428	19905	20	37181
81486	58689	98023	151	275848
163288	104628	82437	131	219713
292172	103634	60407	125	212561
244360	283599	38994	12	24777
158946	122806	70081	62	107884
294595	311605	7505	4	9926
300813	249468	60472	81	152506
306403	25952	34905	17	34364
81528	72146	36603	10	23777
33133	186293	116384	76	135236
238701	219140	47293	52	96262
178237	38955	86209	131	192702
227008	290425	9104	9	16545
196322	160536	158784	150	282550
84598	79924	45980	5	9260
292701	173658	14389	10	20206
264091	170690	52266	81	137468
86195	168830	33905	4	7374
177811	113525	68390	149	271196
76718	70633	159104	126	231813
166366	107174	80074	118	199822
198749	129615	50815	73	127824
219002	242691	50873	27	51098
255759	91671	99989	159	244576
148389	66603	186989	145	252830
264838	125872	52724	121	215438
173394	92387	64452	81	132964
228188	132272	52637	87	127549
227254	244147	53320	51	92007
123852	143571	17523	15	32081
111918	62887	96144	30	60556
81639	204149	45610	96	164829
74012	210892	61984	42	81941
300296	241062	8555	7	12854
153574	19796	56876	34	65061
249197	22827	83458	75	136535
196910	204054	20870	8	18093
160510	2229	19890	8	15554
164856	230655	26816	28	54258
50498	284364	52671	27	47138
56702	29700	64083	10	23207
283288	137597	49546	52	96559
250757	138876	203660	158	299274
165743	27975	37756	9	18817
263039	123848	55434	71	98525
293704	32041	76253	142	249434
158606	181724	73750	33	58522
263231	166460	41444	39	72065
134075	242666	47264	57	100151
192791	164253	102581	148	280493
12173	220927	36918	6	12582
198786	219065	32597	32	54082
171024	137054	51210	13	28627
155871	114291	57166	146	266792
37605	235276	45800	15	19775
88346	193744	59838	73	132757
140160	44872	49416	6	13887
294912	260920	68745	83	153243
178775	284675	21267	32	58633
234242	26769	117462	161	292221
221895	97080	49381	115	197583
20579	224234	35981	28	51368
184222	83647	149842	151	277315
10369	173703	19358	13	26848
842	6677	78829	47	88769
190665	163631	50139	130	227749
68233	272118	104865	94	162768
167016	213571	6878	2	4912
3416	234117	18679	10	21308
131062	86397	135579	155	283571
291183	26934	102294	104	179209
125494	147924	73861	49	92141
234662	100669	68162	127	210460
253081	222109	137603	71	129200
223569	163174	20994	4	9092
171379	191510	26825	6	13331
221499	277045	111854	10	19530
290336	31288	212983	152	285924
218697	266194	144497	155	300306
295870	302827	34653	74	141066
40171	170504	100765	122	203531
8044	225367	44216	50	79149
53083	310705	58223	28	53191
98419	196479	39737	31	61301
294390	68912	83087	74	139547
312230	306309	17343	51	97325
251499	309965	11523	6	12041
145798	96705	26662	125	219598
41514	8508	41464	2	5922
114112	136988	26111	44	81730
2867	145959	18201	5	6275
72682	117039	26418	5	10123
234892	184526	16291	11	22427
245774	101033	87779	109	191675
52765	20229	187956	137	231981
40010	199495	69324	84	148412
1321	304671	28013	11	24710
269184	31949	78669	84	146168
48271	151088	52285	44	79105
99797	92628	50958	27	52380
230749	2036	54565	40	70447
83565	243881	141248	83	126377
249165	34563	57186	8	20705
33050	22396	82804	12	22650
48642	217536	85817	80	148955
138865	119091	107667	3	7750
67343	111733	143486	128	221943
172897	307914	55310	50	94336
196761	79296	22734	31	56999
260345	250154	19046	2	4452
22285	297001	149522	39	70827
165182	184169	18712	9	18654
21426	45248	74547	130	241838
91467	283171	52025	15	22961
296291	87227	158757	158	307310
63472	91763	107267	148	223185
50853	261424	71194	11	24475
203941	52322	68101	98	175905
56787	125865	60856	14	29500
35823	309287	55082	70	129218
43169	20232	84337	73	127007
223916	253820	100951	160	249067
