Node1 	Node2 	Distance	 Time	 Settled
131062	86397	103107	27	34075
291183	26934	82370	53	55123
125494	147924	58807	29	33892
234662	100669	48695	63	64392
253081	222109	123596	70	74314
223569	163174	18139	12	12317
171379	191510	16740	3	5297
221499	277045	102436	24	25649
290336	31288	135713	57	61183
218697	266194	117297	21	24622
295870	302827	28535	79	53126
40171	170504	76916	76	72865
8044	225367	36210	44	47868
53083	310705	47525	36	39982
98419	196479	23628	17	20621
294390	68912	65885	54	56958
312230	306309	12404	19	17564
251499	309965	11184	8	10008
145798	96705	19417	12	15291
41514	8508	34739	6	7302
114112	136988	22202	8	11396
2867	145959	12910	2	2918
72682	117039	17737	4	5214
234892	184526	13350	19	21432
245774	101033	64285	89	88380
52765	20229	161633	113	101376
40010	199495	58939	97	85303
1321	304671	23303	16	19631
269184	31949	65495	89	87310
48271	151088	47406	41	42878
99797	92628	37005	12	16631
230749	2036	42625	28	31290
83565	243881	117955	77	79974
249165	34563	42643	11	15287
33050	22396	73031	27	27376
48642	217536	68122	64	62411
138865	119091	101123	5	9136
67343	111733	115420	78	82176
172897	307914	47837	71	68925
196761	79296	17418	16	20738
260345	250154	18776	3	4771
22285	297001	135370	55	55772
165182	184169	14791	16	18965
21426	45248	63162	33	38692
91467	283171	41425	45	41739
296291	87227	139474	57	62962
63472	91763	85243	135	120599
50853	261424	58754	15	19622
203941	52322	54662	77	74935
56787	125865	41870	9	13002
35823	309287	48918	68	67357
43169	20232	67051	50	51047
223916	253820	78395	41	48916
