Node1 	Node2 	Distance	 Time	 Settled
189097	2549	82541	60	65822
248632	231999	71875	62	72245
128878	301401	79635	43	48812
30238	151421	135948	60	64832
154573	2081	69182	49	56226
250004	35151	39065	15	19942
42464	13534	66906	6	8775
237754	267375	59467	49	51660
184520	274581	11746	11	13313
124220	167815	71252	22	30190
49447	139936	95445	19	24913
35381	34436	84806	48	52257
276217	55363	41416	28	34750
108301	262230	42079	63	68200
26527	63967	67105	86	96437
214133	202592	13802	10	13307
110858	308474	38555	32	37172
143845	58273	30883	14	17327
153895	299866	15441	2	3695
10454	68166	76187	77	88662
284204	12330	33517	28	35366
216055	44913	44765	59	65476
240036	192558	26725	40	46200
290336	286133	2896	0	786
31643	223294	139179	60	63440
38491	604	76985	70	78527
136992	6221	41190	56	59646
158290	150287	33712	31	35797
292741	284227	5644	4	4130
8749	251110	128243	38	46805
156267	82217	32093	45	49427
196383	160360	9471	3	3565
96142	181323	21137	23	28049
291053	256878	45582	40	46650
28567	172710	63765	20	24946
188055	76503	9651	3	5288
36234	305481	47241	32	35755
217422	106048	64564	59	66382
180972	117039	20027	19	23828
151795	263631	12581	17	21222
57260	90259	44278	7	11695
258619	127110	31386	23	26002
36380	172389	59935	26	32187
187279	45761	19197	5	7937
208440	259887	66423	60	70555
257508	57825	56656	17	22763
70154	196499	111326	23	27098
115077	217849	38942	67	73292
187918	111394	27933	11	14420
216454	287691	21162	24	28131
15919	277675	64242	65	71103
161075	9705	101900	60	67141
163977	15474	42831	73	71690
32400	238654	22978	10	12405
83158	130011	13575	2	2060
173181	78804	126511	26	36287
239006	55070	54740	58	65592
221611	272605	20670	23	27345
309933	311037	4006	1	1333
21700	135187	53947	52	59373
165283	53517	70347	34	42438
116260	189626	32287	14	18092
250434	233753	11931	7	9263
169065	21584	60367	85	94212
207317	252488	9371	7	9421
37482	149600	55280	71	66266
254407	105999	123829	103	101967
262971	73241	32371	21	27320
272833	57534	58875	51	54699
164797	239393	103236	70	77343
205338	217519	11486	9	10282
12255	55744	52035	7	10654
218566	294887	28477	19	22930
9150	298057	14512	24	24941
119743	102239	28836	7	10249
1394	192020	79028	110	95804
184958	291902	12001	13	16500
79049	17305	17862	12	13709
306601	256159	48753	27	35710
300501	67846	58320	40	49227
218764	151631	28754	39	29127
53258	85598	142570	55	64123
87456	41242	52819	11	15681
80375	88556	57805	81	88323
219903	162987	48087	77	78755
303237	220112	30771	30	36112
56204	189749	73041	109	100228
287208	101318	22912	32	36731
8979	12630	83988	56	64595
213846	187012	12269	9	11320
36795	154970	78168	57	65049
134142	161378	67553	3	5186
198966	207804	6974	4	5156
202263	40404	66619	61	66938
204422	71223	25795	33	34358
198886	274254	24824	18	21947
124658	285965	147737	45	51610
225670	153149	16957	24	28863
186230	40168	52215	53	59248
92600	15118	44381	27	33216
145248	151993	38914	70	70686
302223	236053	37577	42	47091
50872	243197	50428	24	28157
289384	55769	38074	30	36748
82329	7559	31979	18	24179
230423	228747	6726	3	3997
82673	104207	31547	13	18404
53170	165981	51846	88	75463
288016	29819	48548	54	61347
40745	65281	144528	84	98192
287458	142226	20710	24	30306
239375	4126	9962	6	6971
220848	131445	44429	23	26587
301548	247221	101606	55	64940
307888	284412	2832	1	819
143065	66000	43733	51	55998
269483	240684	34735	33	36652
286436	224022	19389	16	22143
184560	130711	69879	63	72913
